file,job_id,classes,samples,pca_dim,feature_depth,vqc_iterations,seed,native_best_accuracy,native_best_runtime_sec,quantum_kernel_accuracy,quantum_kernel_runtime_sec,quantum_kernel_required_speedup,qnn_vqc_accuracy,qnn_vqc_runtime_sec,qnn_vqc_required_speedup
data/raw/perlmutter/digits_expanded/digits_55422136_c3v8_128s_4p_d2_i4_seed11.json,55422136,"3,8",128,4,2,4,11,0.96875,0.014225320017430931,0.71875,6.326485767989652,444.73416135718014,0.78125,0.4610179879819043,32.40826831431546
data/raw/perlmutter/digits_expanded/digits_55422136_c3v8_256s_12p_d2_i3_seed11.json,55422136,"3,8",256,12,2,3,11,0.984375,0.017262302979361266,0.8125,6.678181669005426,386.8650479017678,0.75,2.0756595940038096,120.24233362636835
data/raw/perlmutter/digits_expanded/digits_55422136_c3v8_256s_4p_d1_i4_seed11.json,55422136,"3,8",256,4,1,4,11,0.921875,0.01611397200031206,0.8125,6.239435953000793,387.206577799686,0.703125,0.618843353993725,38.404147281734176
data/raw/perlmutter/digits_expanded/digits_55422136_c3v8_256s_4p_d3_i4_seed13.json,55422136,"3,8",256,4,3,4,13,0.96875,0.016313889995217323,0.546875,6.679129300988279,409.4136532087916,0.625,1.0860038709943183,66.56927754892902
data/raw/perlmutter/digits_expanded/digits_55422136_c4v9_128s_12p_d1_i3_seed13.json,55422136,"4,9",128,12,1,3,13,1.0,0.014124188979621977,1.0,6.406120855011977,453.55672203583276,0.84375,0.6295045820006635,44.56925512033978
data/raw/perlmutter/digits_expanded/digits_55422136_c4v9_128s_4p_d2_i4_seed11.json,55422136,"4,9",128,4,2,4,11,1.0,0.014409355993848294,0.84375,6.678357287979452,463.4736827121632,0.78125,0.43768212900613435,30.37485708542363
data/raw/perlmutter/digits_expanded/digits_55422136_c4v9_256s_12p_d2_i3_seed11.json,55422136,"4,9",256,12,2,3,11,1.0,0.016482375998748466,0.875,6.374760327016702,386.76221968851746,0.734375,2.139071557990974,129.77932053930797
data/raw/perlmutter/digits_expanded/digits_55422136_c4v9_256s_4p_d1_i4_seed11.json,55422136,"4,9",256,4,1,4,11,1.0,0.016120685992063954,1.0,6.393415503000142,396.59698763114386,0.75,0.5959330480254721,36.96697822405596
data/raw/perlmutter/digits_expanded/digits_55422136_c4v9_256s_4p_d3_i4_seed13.json,55422136,"4,9",256,4,3,4,13,0.984375,0.0159724639961496,0.8125,6.437267016997794,403.02279088245825,0.796875,1.0407955560076516,65.16186583726537
data/raw/perlmutter/digits_expanded/digits_55422136_c5v8_128s_12p_d1_i3_seed13.json,55422136,"5,8",128,12,1,3,13,0.96875,0.014592433988582343,0.90625,6.947289892996196,476.0884920522519,0.53125,0.5940987519861665,40.71279352375424
