nodes,density,seed,edges,method,objective,best_observed_ratio,runtime_sec,solver_status,mip_gap,milp_message
75,0.25,31,690,greedy,428.75080260334704,0.9389894533515941,0.0007027190004009753,,,
75,0.25,31,690,local_search_16x,455.33146874413904,0.9972026742195536,3.672499583015451,,,
75,0.25,31,690,simulated_annealing,456.60875217818455,1.0,1.6451273830025457,,,
75,0.25,31,690,scipy_highs_milp,416.48569320043083,0.9121281429969255,10.021032630000263,1,0.5323213226966705,Time limit reached. (HiGHS Status 13: Time limit reached)
75,0.25,43,706,greedy,435.4698796245727,0.9520891121252689,0.0019300050043966621,,,
75,0.25,43,706,local_search_16x,455.9517192350151,0.9968695605599805,3.6729743079922628,,,
75,0.25,43,706,simulated_annealing,457.38353067866694,1.0,1.9283232669986319,,,
75,0.25,43,706,scipy_highs_milp,423.0795424971865,0.9249995116121035,10.010657500009984,1,0.519735774692377,Time limit reached. (HiGHS Status 13: Time limit reached)
100,0.1,17,492,greedy,326.9388920023538,0.9172496123471946,0.0005465680151246488,,,
100,0.1,17,492,local_search_16x,356.4339385935896,1.0,4.478004229982616,,,
100,0.1,17,492,simulated_annealing,356.4339385935896,1.0,1.5105485670210328,,,
100,0.1,17,492,scipy_highs_milp,327.010777195439,0.9174512912147257,10.00546026599477,1,0.3623355789889508,Time limit reached. (HiGHS Status 13: Time limit reached)
100,0.1,31,517,greedy,356.6012022586122,0.9309609575209298,0.0005829260044265538,,,
100,0.1,31,517,local_search_16x,383.0463558946779,1.0,4.777263557014521,,,
100,0.1,31,517,simulated_annealing,383.0463558946779,1.0,1.6918607499974314,,,
100,0.1,31,517,scipy_highs_milp,346.10399046083177,0.9035564106919639,10.006779655988794,1,0.3890016338375847,Time limit reached. (HiGHS Status 13: Time limit reached)
100,0.1,43,540,greedy,369.53292797961075,0.9567901831178118,0.0006136030133347958,,,
100,0.1,43,540,local_search_16x,386.2214877408596,1.0,4.562251669995021,,,
100,0.1,43,540,simulated_annealing,386.2214877408596,1.0,1.7037552430119831,,,
100,0.1,43,540,scipy_highs_milp,359.0541871304243,0.9296587541792508,10.005427496012999,1,0.3798466579269054,Time limit reached. (HiGHS Status 13: Time limit reached)
100,0.25,17,1254,greedy,760.1384918097639,0.9598178246468608,0.0012110960087738931,,,
100,0.25,17,1254,local_search_16x,791.9612162750118,1.0,10.659741052018944,,,
100,0.25,17,1254,simulated_annealing,791.9612162750118,1.0,3.807573872996727,,,
100,0.25,17,1254,scipy_highs_milp,690.0010198512824,0.8712560737465163,10.014584758988349,1,0.7083008004061515,Time limit reached. (HiGHS Status 13: Time limit reached)
100,0.25,31,1240,greedy,749.7607664352463,0.9374753425907759,0.0011502830020617694,,,
100,0.25,31,1240,local_search_16x,799.741522624917,0.9999695789251658,11.394766701007029,,,
100,0.25,31,1240,simulated_annealing,799.7658523617615,1.0,3.8566137699817773,,,
100,0.25,31,1240,scipy_highs_milp,688.7842694597302,0.8612324062420328,10.011417405999964,1,0.7143068303664203,Time limit reached. (HiGHS Status 13: Time limit reached)
100,0.25,43,1292,greedy,768.6466990435798,0.9376220142029928,0.0012275869958102703,,,
100,0.25,43,1292,local_search_16x,808.4205134036391,0.9861394982164126,12.310805204004282,,,
100,0.25,43,1292,simulated_annealing,819.7831187836954,1.0,4.00640532001853,,,
100,0.25,43,1292,scipy_highs_milp,719.1662993779167,0.8772640993692784,10.010974881006405,1,0.6726657813162339,Time limit reached. (HiGHS Status 13: Time limit reached)
