record_id,workload,mode,conditional_projected_native_ratio,conditional_first_target,conditional_first_target_gain,factory_utility,shot_fabric_utility,logical_cycle_utility,decoder_utility,host_feedback_utility,shot_lane_evidence,effective_shot_lanes
practical_strongnative_32node_large128c0c127_20260704060230_c100_ml_digits_c2v4v6v8_128s_8q_d1_r0_seed43,ml,aggregate_ready,3097717.721102993,factory,9.991956478595094,9.991956478595094,1.0000792491914676,1.0000779991067226,1.0000012498897566,1.000001254666197,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c100_ml_digits_c2v4v6v8_128s_8q_d1_r1_seed1017,ml,aggregate_ready,3069798.6624198924,factory,9.991956478595094,9.991956478595094,1.0000792491914676,1.0000779991067226,1.0000012498897566,1.000001254666197,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c100_ml_digits_c2v4v6v8_128s_8q_d1_r1_seed1023,ml,aggregate_ready,2779986.5721517494,factory,9.991956478595094,9.991956478595094,1.0000792491914676,1.0000779991067226,1.0000012498897566,1.000001254666197,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c100_ml_digits_c2v4v6v8_128s_8q_d1_r1_seed1031,ml,aggregate_ready,556388.7505448227,factory,9.991956478595094,9.991956478595094,1.0000792491914676,1.0000779991067226,1.0000012498897566,1.000001254666197,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c100_ml_digits_c2v4v6v8_128s_8q_d1_r1_seed1043,ml,aggregate_ready,45822.54852883991,factory,9.991956478595094,9.991956478595094,1.0000792491914676,1.0000779991067226,1.0000012498897566,1.000001254666197,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c100_ml_digits_c2v4v6v8_128s_8q_d1_r2_seed2017,ml,aggregate_ready,561708.3116308005,factory,9.991956478595094,9.991956478595094,1.0000792491914676,1.0000779991067226,1.0000012498897566,1.000001254666197,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c100_ml_digits_c2v4v6v8_128s_8q_d1_r2_seed2023,ml,aggregate_ready,562174.9478775541,factory,9.991956478595094,9.991956478595094,1.0000792491914676,1.0000779991067226,1.0000012498897566,1.000001254666197,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c100_ml_digits_c2v4v6v8_128s_8q_d1_r2_seed2031,ml,aggregate_ready,3093558.7854733192,factory,9.991956478595094,9.991956478595094,1.0000792491914676,1.0000779991067226,1.0000012498897566,1.000001254666197,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c100_ml_digits_c2v4v6v8_128s_8q_d1_r2_seed2043,ml,aggregate_ready,2990378.0557204504,factory,9.991956478595094,9.991956478595094,1.0000792491914676,1.0000779991067226,1.0000012498897566,1.000001254666197,compiled_dependency_wave,10000.0
practical_strongnative_32node_large128c0c127_20260704060230_c100_ml_digits_c2v4v6v8_128s_8q_d1_r3_seed3017,ml,aggregate_ready,561961.745400943,factory,9.991956478595094,9.991956478595094,1.0000792491914676,1.0000779991067226,1.0000012498897566,1.000001254666197,compiled_dependency_wave,10000.0
