file,workload,family,quality_metric,native_runtime_sec,native_selected_model,native_best_quality_model,native_model_count,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,path,status,quality_tolerance,measurement_fraction,taxonomy,taxonomy_reason
practical_strongnative_32node_large128c0c127_20260704060230_c59_ml_digits_c3v5v8_320s_6q_d2_r3_seed3031.json,ml,multiclass_ml,test_accuracy,0.002645440981723368,knn_numpy,knn_numpy,6,6.6250843800080474,2504.340269081394,1.0,0.675,0.32499999999999996,7680,3200,1920,320,strongnative_32node_large128c0c127_20260704060230_c59,6.765947389008943,3031,320,6,3,digits,"3,5,8",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c59_ml_digits_c3v5v8_320s_6q_d2_r3_seed3031.json,ok,0.02,0.15,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c59_ml_digits_c3v5v8_320s_6q_d2_r3_seed3043.json,ml,multiclass_ml,test_accuracy,0.015651558991521597,softmax_regression_numpy,softmax_regression_numpy,6,6.966676796000684,445.11072665505793,0.975,0.5,0.475,7680,3200,1920,320,strongnative_32node_large128c0c127_20260704060230_c59,7.104719497001497,3043,320,6,3,digits,"3,5,8",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c59_ml_digits_c3v5v8_320s_6q_d2_r3_seed3043.json,ok,0.02,0.15,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c59_qaoa_chordal_7n_grid13_r0_seed23.json,optimization,optimization_qaoa,approximation_ratio,3.3514981623739004e-05,greedy_assignment_numpy,,4,7.013871595001547,209275.71059843726,8,6.133894052838323,0.23326324339520965,3887,3042,1183,169,strongnative_32node_large128c0c127_20260704060230_c59,7.0375611369963735,23,72,4,3,synthetic,"0,1,2",,1,21,1,,7,chordal,13,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c59_qaoa_chordal_7n_grid13_r0_seed23.json,ok,0.02,0.14583333333333334,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c59_qaoa_chordal_7n_grid13_r2_seed2023.json,optimization,optimization_qaoa,approximation_ratio,3.142099012620747e-05,greedy_assignment_numpy,,4,6.574013342993567,209223.6214259316,8,6.133894052838323,0.23326324339520965,3887,3042,1183,169,strongnative_32node_large128c0c127_20260704060230_c59,6.606146840000292,2023,72,4,3,synthetic,"0,1,2",,1,21,1,,7,chordal,13,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c59_qaoa_chordal_7n_grid13_r2_seed2023.json,ok,0.02,0.14583333333333334,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c59_qaoa_ladder_4n_grid13_r1_seed1043.json,optimization,optimization_qaoa,approximation_ratio,1.5981000615283847e-05,greedy_assignment_numpy,,4,6.764631094993092,423292.0865120023,4,2.9999999999999982,0.25000000000000044,2028,1352,676,169,strongnative_32node_large128c0c127_20260704060230_c59,6.78585254799691,1043,72,4,3,synthetic,"0,1,2",,1,21,1,,4,ladder,13,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c59_qaoa_ladder_4n_grid13_r1_seed1043.json,ok,0.02,0.16666666666666666,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c59_qaoa_ladder_4n_grid13_r3_seed3043.json,optimization,optimization_qaoa,approximation_ratio,1.582101685926318e-05,greedy_assignment_numpy,,4,6.583033009985229,416094.1783037715,4,2.9999999999999982,0.25000000000000044,2028,1352,676,169,strongnative_32node_large128c0c127_20260704060230_c59,6.6059447590087075,3043,72,4,3,synthetic,"0,1,2",,1,21,1,,4,ladder,13,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c59_qaoa_ladder_4n_grid13_r3_seed3043.json,ok,0.02,0.16666666666666666,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c59_qaoa_ring_6n_grid13_r1_seed1017.json,optimization,optimization_qaoa,approximation_ratio,2.2633990738540888e-05,greedy_assignment_numpy,,4,6.654678549995879,294012.60373692616,6,4.499999999999997,0.25000000000000044,3042,2028,1014,169,strongnative_32node_large128c0c127_20260704060230_c59,6.676972815999761,1017,72,4,3,synthetic,"0,1,2",,1,21,1,,6,ring,13,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c59_qaoa_ring_6n_grid13_r1_seed1017.json,ok,0.02,0.16666666666666666,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c59_qaoa_ring_6n_grid13_r3_seed3017.json,optimization,optimization_qaoa,approximation_ratio,2.264298382215202e-05,greedy_assignment_numpy,,4,6.833051213005092,301773.4441129707,6,4.499999999999997,0.25000000000000044,3042,2028,1014,169,strongnative_32node_large128c0c127_20260704060230_c59,6.855344297015108,3017,72,4,3,synthetic,"0,1,2",,1,21,1,,6,ring,13,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c59_qaoa_ring_6n_grid13_r3_seed3017.json,ok,0.02,0.16666666666666666,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c59_sim_heisenberg_6q_10steps_r0_seed31.json,simulation,hamiltonian_simulation,absolute_observable_error,0.0025065329973585904,exact_dense_eigendecomposition_numpy,,0,6.93678315699799,2767.4812836328274,0.028435823107617414,-0.06462350891281432,0.09305933202043173,613,300,6,1,strongnative_32node_large128c0c127_20260704060230_c59,6.949147656996502,31,72,4,3,synthetic,"0,1,2",,1,21,1,,4,chordal,7,heisenberg,auto,6,10,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c59_sim_heisenberg_6q_10steps_r0_seed31.json,ok,0.01,0.006528835690968444,quality-limited,quality_gap>0.01
practical_strongnative_32node_large128c0c127_20260704060230_c59_sim_heisenberg_6q_10steps_r1_seed1031.json,simulation,hamiltonian_simulation,absolute_observable_error,0.0025578119966667145,exact_dense_eigendecomposition_numpy,,0,7.034487950004404,2750.19741840745,0.028435823107617414,-0.06462350891281432,0.09305933202043173,613,300,6,1,strongnative_32node_large128c0c127_20260704060230_c59,7.051154389977455,1031,72,4,3,synthetic,"0,1,2",,1,21,1,,4,chordal,7,heisenberg,auto,6,10,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c59_sim_heisenberg_6q_10steps_r1_seed1031.json,ok,0.01,0.006528835690968444,quality-limited,quality_gap>0.01
